[A/DT, person/NN, is/VBZ, on/IN, a/DT, baseball/NN, team/NN, ./.] 	[A/DT, person/NN, is/VBZ, playing/VBG, basketball/NN, on/IN, a/DT, team/NN, ./.] 	1
[Our/PRP$, current/JJ, vehicles/NNS, will/MD, be/VB, in/IN, museums/NNS, when/WRB, everyone/NN, has/VBZ, their/PRP$, own/JJ, aircraft/NN, ./.] 	[The/DT, car/NN, needs/VBZ, to/TO, some/DT, work/NN] 	2
[A/DT, woman/NN, supervisor/NN, is/VBZ, instructing/VBG, the/DT, male/JJ, workers/NNS, ./.] 	[A/DT, woman/NN, is/VBZ, working/VBG, as/IN, a/DT, nurse/NN, ./.] 	3
[A/DT, bike/NN, is/VBZ, next/JJ, to/TO, a/DT, couple/NN, women/NNS, ./.] 	[A/DT, child/NN, next/JJ, to/TO, a/DT, bike/NN, ./.] 	4
[The/DT, group/NN, is/VBZ, eating/VBG, while/IN, taking/VBG, in/RP, a/DT, breathtaking/JJ, view/NN, ./.] 	[A/DT, group/NN, of/IN, people/NNS, take/VBP, a/DT, look/NN, at/IN, an/DT, unusual/JJ, tree/NN, ./.] 	5
[The/DT, boy/NN, is/VBZ, raising/VBG, his/PRP$, hand/NN, ./.] 	[The/DT, man/NN, is/VBZ, raising/VBG, his/PRP$, hand/NN, ./.] 	6
[A/DT, man/NN, with/IN, a/DT, gray/JJ, beard/NN, is/VBZ, being/VBG, shaved/VBN, in/IN, front/NN, of/IN, a/DT, lecture/NN, hall/NN] 	[A/DT, man/NN, with/IN, a/DT, beard/NN, is/VBZ, sitting/VBG, in/IN, the/DT, grass/NN, ./.] 	7
[The/DT, sky/NN, has/VBZ, very/RB, little/JJ, to/TO, no/DT, clouds/NNS, ./.] 	[This/DT, Lady/NN, might/MD, be/VB, ready/JJ, for/IN, Rock/NNP, Climbing/NNP, ,/,, or/CC, just/RB, watching/VBG, the/DT, Clouds/NNPS, ,/,, above/RB, ./.] 	8
[The/DT, young/JJ, boy/NN, jumps/VBZ, barefoot/NN, outside/IN, in/IN, the/DT, front/NN, yard/NN, ./.] 	[The/DT, teen/NN, rode/VBD, his/PRP$, bike/NN, around/IN, the/DT, people/NNS, walking/VBG, in/IN, the/DT, courtyard/NN, ./.] 	9
[There/EX, are/VBP, dogs/NNS, in/IN, the/DT, forest/NN, ./.] 	[The/DT, dogs/NNS, are/VBP, alone/RB, in/IN, the/DT, forest/NN, ./.] 	10
[Some/DT, cyclists/NNS, stop/VBP, near/IN, a/DT, sign/NN, ./.] 	[Two/CD, men/NNS, stop/VB, to/TO, talk/VB, near/IN, a/DT, sign/NN, outside/NN, ./.] 	11
[These/DT, cooks/NNS, in/IN, the/DT, white/JJ, are/VBP, busy/JJ, in/IN, the/DT, kitchen/NN, making/VBG, dinner/NN, for/IN, their/PRP$, customers/NNS, ./.] 	[The/DT, women/NNS, are/VBP, preparing/VBG, dinner/NN, in/IN, their/PRP$, kitchen/NN, ./.] 	12
[A/DT, young/JJ, person/NN, deep/JJ, in/IN, thought/NN, ./.] 	[A/DT, young/JJ, man/NN, deep/RB, in/IN, thought/NN, ./.] 	13
[A/DT, man/NN, is/VBZ, carrying/VBG, a/DT, canoe/NN, with/IN, a/DT, dog/NN, ./.] 	[A/DT, dog/NN, is/VBZ, carrying/VBG, a/DT, man/NN, in/IN, a/DT, canoe/NN, ./.] 	14
[A/DT, man/NN, is/VBZ, performing/VBG, labor/NN, ./.] 	[A/DT, man/NN, is/VBZ, performing/VBG, today/NN, ./.] 	15
[Two/CD, men/NNS, wearing/VBG, traditional/JJ, clothing/NN, is/VBZ, standing/VBG, outside/RB, ./.] 	[Three/CD, women/NNS, wearing/VBG, black/JJ, vests/NNS, and/CC, gray/JJ, shirts/NNS, are/VBP, talking/VBG, outside/IN, of/IN, a/DT, building/NN, ./.] 	16
[a/DT, woman/NN, watches/VBZ, a/DT, rap/NN, group/NN, live/VBP] 	[An/DT, audience/NN, watches/VBZ, a/DT, girl/NN, dance/NN, ./.] 	17
[A/DT, girl/NN, dancing/NN, on/IN, a/DT, sandy/JJ, beach/NN, ./.] 	[A/DT, girl/NN, is/VBZ, on/IN, a/DT, sandy/JJ, beach/NN, ./.] 	18
[a/DT, man/NN, wearing/VBG, a/DT, gray/JJ, hat/NN, fishing/NN, out/IN, of/IN, a/DT, fishing/NN, boat/NN, ./.] 	[A/DT, man/NN, wearing/VBG, a/DT, straw/NN, hat/NN, and/CC, fishing/NN, vest/NN, in/IN, a/DT, stream/NN, ./.] 	19
[A/DT, little/JJ, girl/NN, in/IN, an/DT, orange/JJ, striped/JJ, outfit/NN, is/VBZ, airborne/JJ, whilst/IN, bouncing/VBG, on/IN, a/DT, bed/NN, ./.] 	[A/DT, dog/NN, in/IN, a/DT, red/JJ, shirt/NN, is/VBZ, chasing/VBG, a/DT, squirrel/NN, through/IN, the/DT, glass/NN, ./.] 	20
[A/DT, person/NN, is/VBZ, watching/VBG, people/NNS, ski/VB, down/RP, the/DT, hill/NN, ./.] 	[The/DT, woman/NN, is/VBZ, jumping/VBG, a/DT, long/JJ, distance/NN, while/IN, people/NNS, watch/VBP, ./.] 	21
