nmod:poss	situation	Their
nsubjpass	helped	situation
auxpass	helped	was
neg	helped	n't
root	ROOT	helped
case	documentary	by
det	documentary	a
amod	documentary	recent
compound	documentary	BBC
nummod	documentary	Two
nmod:agent	helped	documentary
punct	documentary	,
appos	documentary	Wonderland
punct	documentary	:
dep	documentary	Young
punct	Young	,
conj:and	Young	Bright
cc	Young	and
case	Right	on
det	Right	the
conj:and	Young	Right
punct	Young	,
case	politics	about
compound	politics	student
nmod:about	Young	politics
punct	politics	,
nsubj	portrayed	which
acl:relcl	politics	portrayed
dobj	portrayed	Tories
case	oddballs	as
nmod:as	portrayed	oddballs
cc	oddballs	and
conj:and	oddballs	neo-Nazis
punct	helped	.
