nmod:poss	situation	His
nsubjpass	helped	situation
auxpass	helped	was
neg	helped	not
root	ROOT	helped
case	documentary	by
det	documentary	a
amod	documentary	recent
compound	documentary	BBC
nummod	documentary	Two
nmod:agent	helped	documentary
punct	documentary	,
appos	documentary	Wonderland
punct	documentary	:
dep	documentary	Young
punct	Young	,
conj:and	Young	Bright
cc	Young	and
conj:and	Young	Right
punct	Young	,
case	politics	on
compound	politics	student
nmod:on	Young	politics
punct	Young	,
acl	Young	portraying
dobj	portraying	conservatives
case	capricious	as
nmod:as	portraying	capricious
cc	capricious	and
conj:and	capricious	neo-Nazi
punct	helped	.
