argue	likely	ccomp
Clement	to	mark
general	as	case
Clement	Paul	compound
general	U.S.	compound
administration	W.	compound
Clement	be	cop
lawyer	.	punct
likely	thrown	csubj
lawyer	stand	acl:relcl
stand	court	nmod:before
Clement	served	acl:relcl
stand	who	nsubj
served	general	nmod:as
stand	will	aux
lawyer	The	det
thrown	be	auxpass
stand	argue	conj:and
administration	George	compound
ROOT	lawyer	root
Clement	,	punct
thrown	that	mark
general	solicitor	compound
thrown	law	nsubjpass
likely	Clement	xcomp
thrown	out	compound:prt
thrown	should	aux
court	before	case
served	administration	nmod:during
administration	during	case
