compound	President	Mr
nsubj	know	President
punct	know	,
nsubj	know	we
root	ROOT	know
det	position	the
dobj	know	position
case	Commission	of
det	Commission	the
nmod:of	position	Commission
case	access	on
amod	access	public
nmod:on	position	access
case	documents	to
nmod:to	access	documents
mark	reading	in
acl	position	reading
det	manual	the
amod	manual	internal
dobj	reading	manual
punct	manual	,
nsubjpass	submitted	which
auxpass	submitted	was
acl:relcl	manual	submitted
punct	submitted	,
case	October	on
nummod	October	11
nmod:on	submitted	October
punct	manual	,
det	Commission	the
nmod:poss	officials	Commission
case	Commission	's
appos	manual	officials
mark	explain	in
mwe	in	order
mark	explain	to
acl	officials	explain
det	way	the
dobj	explain	way
case	which	in
nmod:in	were	which
nsubj	were	they
acl:relcl	way	were
mark	deal	to
xcomp	were	deal
case	requests	with
det	requests	the
nmod:with	deal	requests
case	Members	from
det	Members	the
nmod:from	requests	Members
acl	Members	regarding
dobj	regarding	access
case	documents	to
nmod:to	access	documents
punct	know	.
