nmod:poss	party	My
nsubj	reservations	party
amod	reservations	serious
root	ROOT	reservations
case	regulation	about
det	regulation	the
nmod:about	reservations	regulation
case	sale	of
det	sale	the
nmod:of	regulation	sale
case	consumption	of
nmod:of	sale	consumption
case	legislation	by
mwe	by	means
mwe	by	of
compound	legislation	Community
nmod:by_means_of	reservations	legislation
punct	reservations	,
mark	has	as
nsubj	has	it
advcl	reservations	has
dobj	has	reservations
case	concept	about
det	concept	the
nmod:about	reservations	concept
case	recognition	of
amod	recognition	mutual
nmod:of	concept	recognition
case	standards	of
nmod:of	recognition	standards
punct	reservations	.
