nmod:poss	Party	My
nsubj	expresses	Party
root	ROOT	expresses
amod	reservations	serious
dobj	expresses	reservations
case	regulation	about
det	regulation	the
nmod:about	reservations	regulation
case	sale	of
det	sale	the
nmod:of	regulation	sale
case	goods	of
compound	goods	consumer
nmod:of	sale	goods
case	legislation	by
mwe	by	means
mwe	by	of
compound	legislation	Community
nmod:by_means_of	expresses	legislation
punct	expresses	,
mark	makes	as
nsubj	makes	it
advcl	expresses	makes
dobj	makes	reservations
case	concept	about
det	concept	the
nmod:about	reservations	concept
case	recognition	of
amod	recognition	mutual
nmod:of	concept	recognition
case	standards	of
nmod:of	recognition	standards
punct	expresses	.
