advmod	100	More
mwe	More	than
nummod	officers	100
compound	officers	police
nsubjpass	involved	officers
auxpass	involved	were
root	ROOT	involved
case	busts	in
det	busts	the
nmod:in	involved	busts
nsubj	culmination	that
cop	culmination	were
det	culmination	the
acl:relcl	busts	culmination
case	operation	of
det	operation	a
amod	operation	two-year
nmod:of	culmination	operation
acl	operation	investigating
det	cocaine	the
dobj	investigating	cocaine
dep	cocaine	importing
cc	importing	and
compound	gang	money
compound	gang	laundering
conj:and	importing	gang
punct	involved	.
