nmod:poss	government	My
nsubj	has	government
ccomp	told	has
det	commitment	a
amod	commitment	great
dobj	has	commitment
case	people	to
det	people	the
amod	people	Mexican
nmod:to	commitment	people
mark	reduce	to
acl	commitment	reduce
det	violence	the
dobj	reduce	violence
punct	told	,
compound	Nieto	Mr
compound	Nieto	Pena
nsubj	told	Nieto
root	ROOT	told
compound	Obama	US
compound	Obama	President
compound	Obama	Barack
dobj	told	Obama
case	Office	in
det	Office	the
compound	Office	Oval
nmod:in	told	Office
advmod	week	earlier
det	week	this
nmod:tmod	told	week
punct	told	.
