applied	way	nmod:in
boat	unexecutable	amod
make	buy	parataxis
activities	to	case
buy	not	neg
senators	the	det
buy	we	nsubj
cut	applied	acl
damage	serious	amod
wrote	Panetta	nsubj
three-quarters	boat	nmod:of
wrote	make	ccomp
boat	of	case
senators	To	case
boat	and	cc
activities	other	amod
buy	three-quarters	dobj
wrote	senators	nmod:to
projects	construction	compound
cut	,	punct
boat	or	cc
boat	damage	conj:or
damage	activities	nmod:to
boat	building	conj:or
boat	-	punct
most	boat	nmod:of
activities	modernization	compound
boat	projects	conj:and
cut	large	amod
make	cut	nsubj
way	indiscriminate	amod
make	most	dobj
make	-	punct
cut	A	det
boat	our	nmod:poss
