compound	officials	U.S.
nsubj	say	officials
aux	say	did
neg	say	not
root	ROOT	say
mark	crossed	whether
amod	forces	American
nsubj	crossed	forces
punct	forces	,
nsubj	acting	who
aux	acting	were
acl:relcl	forces	acting
case	intelligence	on
nmod:on	acting	intelligence
punct	forces	,
ccomp	say	crossed
case	territory	into
amod	territory	Syrian
nmod:into	crossed	territory
cc	crossed	and
cop	vague	were
conj:and	crossed	vague
mark	involved	about
advmod	involved	how
det	guards	the
amod	guards	Syrian
nsubjpass	involved	guards
auxpass	involved	were
advcl	vague	involved
punct	say	.
