compound	Sahel	Mr
nsubj	said	Sahel
root	ROOT	said
nsubj	identified	police
aux	identified	had
ccomp	said	identified
det	bodies	the
dobj	identified	bodies
case	seven	of
nmod:of	bodies	seven
case	cell	of
det	cell	the
amod	cell	14-strong
nmod:of	seven	cell
acl	cell	believed
mark	carried	to
aux	carried	have
xcomp	believed	carried
compound:prt	carried	out
det	five	the
dobj	carried	five
advmod	simultaneous	almost
amod	attacks	simultaneous
dobj	carried	attacks
case	Saturday	on
nmod:on	attacks	Saturday
punct	said	.
