compound	Street	Wall
nsubj	moved	Street
root	ROOT	moved
advmod	higher	tentatively
advmod	moved	higher
nmod:tmod	higher	Tuesday
mark	weighed	as
nsubj	weighed	investors
advcl	moved	weighed
det	trio	a
dobj	weighed	trio
case	reports	of
nmod:of	trio	reports
acl	reports	showing
amod	improvement	modest
amod	improvement	economic
dobj	showing	improvement
case	urge	against
det	urge	an
nmod:against	showing	urge
case	cash	to
nmod:to	urge	cash
case	profits	in
nmod:in	urge	profits
case	rally	from
nmod:poss	rally	Monday
case	Monday	's
amod	rally	big
nmod:from	profits	rally
punct	moved	.
